"appid","name","release_date","developer","publisher","positive_ratings","negative_ratings","average_playtime","median_playtime","price","total_ratings"
33320,"Prince of Persia: The Forgotten Sands™","2010-06-10","Ubisoft Montreal","Ubisoft",511,263,328,328,8.59,774
33460,"From Dust","2011-08-17","Ubisoft Montpellier","Ubisoft",1356,750,358,399,8.59,2106
33520,"Tropico Reloaded","2009-07-24","PopTop Software;BreakAway Games;Frog City Software","Kalypso Media Digital",412,60,0,0,5.99,472
33570,"Patrician III","2010-11-18","Ascaron Entertainment ltd.","Kalypso Media Digital",289,86,149,149,3.99,375
33600,"Broken Sword 2 - the Smoking Mirror: Remastered","2009-12-02","Revolution Software Ltd","Revolution Software Ltd",432,51,1330,1428,4.99,483
33610,"Broken Sword 3 - the Sleeping Dragon","2009-12-02","Revolution Software Ltd","Revolution Software Ltd",181,167,9,9,4.99,348
33620,"Crash Time 3","2009-11-25","Synetic","Kalypso Media Digital",228,64,0,0,3.99,292
33650,"Puzzler World","2010-05-28","Ideas Pad","Puzzler",299,37,0,0,4.99,336
33670,"Disciples III - Renaissance Steam Special Edition","2010-07-13","Akella;.dat","Kalypso Media Digital",166,134,2486,2486,9.99,300
33680,"eversion","2010-06-07","Zaratustra Productions","Zaratustra Productions",955,92,466,466,3.99,1047
33770,"Drakensang: The River of Time","2011-02-16","DTP","Valusoft",154,37,0,0,14.99,191
33900,"Arma 2","2009-06-29","Bohemia Interactive","Bohemia Interactive",1728,357,752,1263,7.99,2085
33930,"Arma 2: Operation Arrowhead","2010-06-29","Bohemia Interactive","Bohemia Interactive",17683,1519,8488,1120,11.99,19202
33950,"Fish Fillets 2","2010-11-05","Altar Games","Bohemia Interactive",151,56,0,0,3.99,207
33980,"Pound of Ground","2010-11-05","Centauri Production","Bohemia Interactive",78,49,0,0,8.99,127
33990,"Alternativa","2010-11-05","Centauri Production","Bohemia Interactive",83,86,0,0,9.99,169
34010,"Alpha Protocol™","2010-05-27","Obsidian Entertainment","SEGA",3113,785,267,214,9.99,3898
34190,"Sonic & SEGA All-Stars Racing","2010-03-03","Sumo Digital","SEGA",614,173,759,859,4.99,787
34410,"Death to Spies: Moment of Truth","2009-08-07","Haggard Games","1C Entertainment",260,42,2,2,4.99,302
34420,"XIII Century – Gold Edition","2009-08-28","Unicorn Games Studio","1C Entertainment",55,57,0,0,3.99,112
34600,"Order of War™","2009-09-17","Wargaming.net","Square Enix",270,98,319,589,5.99,368
34810,"Project Freedom","2009-10-14","City Interactive","CI Games",80,26,0,0,2.99,106
34820,"Combat Wings: Battle of Britain","2009-10-14","City Interactive","CI Games",373,101,25,25,4.99,474
34830,"Sniper: Ghost Warrior","2010-06-24","City Interactive","CI Games",2143,1728,113,123,5.99,3871
34870,"Sniper: Ghost Warrior 2","2013-03-11","City Interactive","CI Games",6775,2724,234,228,6.99,9499
34900,"Bad Rats: the Rats' Revenge","2009-07-20","Invent4 Entertainment","Strategy First",10465,2981,257,276,0.79,13446
34920,"Razor2: Hidden Skies","2010-07-19","Invent4 Entertainment","Strategy First",49,154,28,28,6.99,203
35000,"Mini Ninjas","2009-09-14","IO Interactive","Square Enix",1612,270,27,53,7.99,1882
35130,"Lara Croft and the Guardian of Light","2010-09-28","Crystal Dynamics","Square Enix",2506,237,42,57,7.99,2743
35140,"Batman: Arkham Asylum Game of the Year Edition","2010-03-26","Rocksteady Studios;Feral Interactive (Mac)","Warner Bros. Interactive Entertainment;Feral Interactive (Mac)",20297,865,569,545,14.99,21162
35310,"Clutch","2009-07-20","Targem Games","Game Factory Interactive",90,44,0,0,6.99,134
35320,"Insane 2","2012-01-24","Targem Games","Game Factory Interactive",329,67,0,0,10.99,396
35450,"Red Orchestra 2: Heroes of Stalingrad with Rising Storm","2011-09-13","Tripwire Interactive","Tripwire Interactive",26922,2274,771,269,14.99,29196
35460,"The Ball","2010-10-26","Teotl Studios","Tripwire Interactive",606,210,14,14,6.99,816
35480,"Dwarfs!?","2011-05-04","Power of 2","Tripwire Interactive",619,177,53,57,7.99,796
35700,"Trine Enchanted Edition","2009-07-02","Frozenbyte","Frozenbyte",9448,407,314,304,9.99,9855
35720,"Trine 2: Complete Story","2013-06-06","Frozenbyte","Frozenbyte",16369,706,421,319,13.99,17075
36000,"Foreign Legion: Buckets of Blood","2009-08-04","Sakari Indie","Sakari Indie",184,111,160,160,3.99,295
37000,"The Void","2009-12-15","Ice-Pick Lodge","Ice-Pick Lodge",581,126,27,34,6.99,707
37010,"Ninja Blade","2009-11-19","FromSoftware","ND Games;bitComposer Games",128,72,0,0,6.99,200
37030,"UFO: Extraterrestrials Gold","2010-02-17","Chaos Concept","ND Games",122,43,0,0,9.99,165
37100,"Aztaka","2009-11-05","Citeremis Inc.","Citeremis Inc.",94,39,0,0,3.99,133
37400,"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack","2009-08-25","Size Five Games","Size Five Games",494,118,10,10,2.99,612
37600,"Windosill","2009-09-25","Vectorpark","Vectorpark",821,85,31,31,1.99,906
37700,"Darkest of Days","2010-03-01","8monkey Labs","Phantom EFX",158,63,0,0,14.99,221
38210,"Roogoo","2009-12-17","Spidermonk Entertainment","SouthPeak Games",273,66,4,4,0.79,339
38230,"Hotel Giant 2","2010-01-27","Enlight Software Limited, PerspectX","Toplitz Productions",66,95,0,0,5.59,161
38400,"Fallout: A Post Nuclear Role Playing Game","2015-11-01","Interplay Inc.","Bethesda Softworks",6983,643,93,49,7.99,7626
38410,"Fallout 2: A Post Nuclear Role Playing Game","2009-08-19","Black Isle Studios","Bethesda Softworks",4758,321,86,77,7.99,5079
38420,"Fallout Tactics: Brotherhood of Steel","2009-08-19","14° East","Bethesda Softworks",847,210,16,14,7.99,1057
38430,"Kingpin — Life of Crime","2009-08-19","Xatrix Entertainment","Interplay Inc.",163,42,0,0,6.99,205
38450,"MDK","2009-09-17","Shiny Entertainment","Interplay Inc.",138,45,0,0,6.99,183
38460,"MDK 2","2009-09-17","BioWare Corporation","Interplay Inc.",95,19,0,0,6.99,114
38600,"Faerie Solitaire","2010-09-17","Subsoap","Subsoap",2147,207,266,262,6.99,2354
38700,"Toki Tori","2010-01-28","Two Tribes","Two Tribes Publishing",1660,226,73,108,3.99,1886
38720,"RUSH","2010-12-03","Two Tribes","Two Tribes Publishing",1069,117,53,56,3.99,1186
38740,"EDGE","2011-08-11","Two Tribes","Two Tribes Publishing",1714,148,41,43,4.99,1862
39110,"SEASON OF MYSTERY: The Cherry Blossom Murders","2010-02-03","SQUARE ENIX","Square Enix",156,44,0,0,2.99,200
39140,"FINAL FANTASY VII","2013-07-04","Square Enix","Square Enix",11722,878,2443,2805,9.99,12600
39150,"FINAL FANTASY VIII","2013-12-05","Square Enix","Square Enix",5323,682,2145,2470,9.99,6005
39190,"Dungeon Siege","2011-04-05","Gas Powered Games","Square Enix",1179,397,228,347,4.99,1576
39200,"Dungeon Siege II","2005-08-16","Gas Powered Games","Square Enix",813,343,754,1502,4.99,1156
39210,"FINAL FANTASY XIV Online","2014-02-18","Square Enix","Square Enix",9808,2107,28897,9324,9.99,11915
39500,"Gothic® 3","2009-12-02","Piranha Bytes","THQ Nordic",2962,728,1401,1652,8.99,3690
39510,"Gothic II: Gold Edition","2010-01-13","Piranha Bytes","THQ Nordic",3809,475,102,132,8.99,4284
39520,"The Guild Gold Edition","2014-09-09","4HEAD Studios","THQ Nordic",175,75,28,39,8.99,250
39540,"SpellForce - Platinum Edition","2009-11-03","Phenomic","THQ Nordic",694,149,2886,2886,8.99,843
39560,"Painkiller: Resurrection","2009-10-27","Homegrown Games","THQ Nordic",90,181,0,0,8.99,271
39630,"AquaNox","2010-04-20","THQ Nordic","THQ Nordic",151,57,0,0,4.49,208
39640,"AquaNox 2: Revelation","2010-04-20","THQ Nordic","THQ Nordic",106,35,0,0,4.49,141
39650,"The Guild II","2010-06-24","4 Head Studios","THQ Nordic",385,196,1014,1018,8.99,581
39660,"The Guild II - Pirates of the European Seas","2010-06-24","4 Head Studios","THQ Nordic",109,49,0,0,8.99,158
39670,"Chaser","2010-07-16","Cauldron","THQ Nordic",611,226,0,0,4.49,837
39680,"The Guild II Renaissance","2010-07-28","Rune Forge","THQ Nordic",1944,482,1556,1590,8.99,2426
39690,"ArcaniA","2010-10-11","Spellbound Studios","THQ Nordic",735,763,398,571,17.99,1498
39800,"Nation Red","2009-09-03","DiezelPower","DiezelPower",2093,272,154,222,1.79,2365
40100,"Supreme Commander 2","2010-03-01","Gas Powered Games","Square Enix",5336,903,1834,2894,8.99,6239
40300,"Risen","2009-10-02","Piranha Bytes","Deep Silver",3848,585,994,650,7.99,4433
40320,"Rush for Berlin Gold","2009-10-29","Stormregion","Deep Silver",88,13,0,0,3.99,101
40330,"Secret Files: Tunguska","2009-10-29","Animation Arts","Deep Silver",135,32,0,0,7.99,167
40350,"Lost Horizon","2010-09-24","Animation Arts","Deep Silver",211,26,34,34,7.99,237
40380,"nail'd","2010-11-30","Techland","Deep Silver",859,217,135,210,3.99,1076
40390,"Risen 2: Dark Waters","2012-04-26","Piranha Bytes","Deep Silver",2987,891,1278,1257,7.99,3878
40400,"AI War: Fleet Command","2009-10-21","Arcen Games, LLC","Arcen Games, LLC",1109,205,248,338,6.99,1314
40420,"Tidalis","2010-07-16","Arcen Games, LLC","Arcen Games, LLC",130,66,0,0,3.99,196
40700,"Machinarium","2009-10-16","Amanita Design","Amanita Design",5437,264,165,241,7.99,5701
40720,"Samorost 2","2009-12-10","Amanita Design","Amanita Design",716,149,53,53,3.99,865
40930,"The Misadventures of P.B. Winterbottom","2010-04-20","The Odd Gentlemen","2K",323,42,19,19,3.99,365
40950,"Stronghold HD","2013-10-21","FireFly Studios","FireFly Studios",2992,199,473,665,3.49,3191
40970,"Stronghold Crusader HD","2013-10-21","FireFly Studios","FireFly Studios",4079,170,247,183,7.49,4249
40980,"Stronghold Legends: Steam Edition","2016-09-15","FireFly Studios","FireFly Studios",404,123,337,519,11.99,527
40990,"Mafia","2002-08-28","Illusion Softworks","2K",1727,180,32,32,7.99,1907
41000,"Serious Sam HD: The First Encounter","2009-11-24","Croteam","Devolver Digital",3950,269,277,271,10.99,4219
41070,"Serious Sam 3: BFE","2011-11-22","Croteam","Devolver Digital",15574,1977,378,215,29.99,17551
41100,"Hammerfight","2009-10-28","Konstantin Koshutin","KranX Productions",1051,514,256,254,3.99,1565
41500,"Torchlight","2009-10-27","Runic Games","Runic Games",3825,317,1108,1144,10.99,4142
41700,"S.T.A.L.K.E.R.: Call of Pripyat","2010-02-11","GSC Game World","GSC Game World",10172,470,1969,3186,12.99,10642
41740,"Cargo! The Quest for Gravity","2011-04-21","Ice-Pick Lodge","Ice-Pick Lodge;bitComposer Games;Viva Media;Nordic Games",260,72,540,540,6.99,332
41800,"Gratuitous Space Battles","2009-11-16","Positech Games","Positech Games",505,168,272,333,10.99,673
41900,"The Bard's Tale","2009-12-11","inXile Entertainment","inXile Entertainment",644,188,43,77,6.99,832
42120,"Lead and Gold: Gangs of the Wild West","2010-04-08","Fatshark","Fatshark",1471,545,112,128,7.99,2016
42140,"Hamilton's Great Adventure","2011-05-31","Fatshark","Fatshark",169,83,184,184,6.99,252
42170,"Krater","2012-06-12","Fatshark","Fatshark",429,329,369,369,10.99,758
42500,"DogFighter","2010-06-14","Dark Water Studios Ltd","Instinct Software Ltd.",232,152,63,63,1.99,384
42670,"Singularity™","2010-06-30","Raven Software","Activision",2766,227,148,148,14.99,2993
42700,"Call of Duty®: Black Ops","2010-11-08","Treyarch","Activision",14201,1839,2672,517,29.99,16040
42850,"Arsenal of Democracy: A Hearts of Iron Game","2010-02-23","BL-Logic","Paradox Interactive",180,31,0,0,7.99,211
42890,"Sword of the Stars: Complete Collection","2010-06-04","Kerberos Productions Inc.","Paradox Interactive",355,46,0,0,7.99,401
42910,"Magicka","2011-01-25","Arrowhead Game Studios","Paradox Interactive",20912,1964,589,369,7.99,22876
42920,"The Kings' Crusade","2010-10-08","NeoCoreGames","Paradox Interactive",41,72,0,0,7.99,113
42960,"Victoria II","2010-08-30","Paradox Development Studio","Paradox Interactive",4743,632,2580,4888,14.99,5375
42980,"Victoria I Complete","2010-08-20","Paradox Development Studio","Paradox Interactive",88,41,17,17,7.99,129
42990,"Sword of the Stars II: Enhanced Edition","2012-11-30","Kerberos Productions","Paradox Interactive",335,448,38,74,14.99,783
43000,"Front Mission Evolved","2010-10-07","Double Helix Games","Square Enix",481,310,312,312,7.99,791
43100,"World of Zoo","2009-10-30","Blue Fang","HandyGames",115,30,115,115,4.99,145
43190,"The Haunted: Hells Reach","2011-10-24","KTX Software","Signo & Arte",507,81,285,333,5.99,588
43500,"M.U.D. TV","2010-04-19","Realmforge Studios","Kalypso Media Digital",70,85,0,0,7.99,155
44350,"GRID 2","2013-05-27","Codemasters Racing;Feral Interactive (Mac)","Codemasters;Feral Interactive (Mac)",11953,3009,340,243,19.98,14962
44360,"F1 2011","2011-09-19","Codemasters Birmingham","Codemasters",232,108,3,3,9.99,340
44690,"GT Legends","2012-11-28","SimBin Studios AB","SimBin",201,24,0,0,4.99,225
45000,"Sol Survivor","2010-03-15","Cadenza Interactive","Cadenza Interactive",293,30,0,0,7.19,323
45100,"Secret of the Magic Crystals","2010-02-03","Artery Games","Artery Games",1342,265,176,176,3.99,1607
45300,"Wings of Prey","2010-01-08","Gaijin Entertainment","Gaijin Entertainment",314,148,1154,1154,6.99,462
45400,"Fortix","2010-04-14","Nemesys Games","Nemesys Games",802,69,287,287,0.99,871
45410,"Ignite","2011-10-28","Nemesys Games","Nemesys Games",154,115,0,0,6.99,269
45450,"Fortix 2","2011-05-06","Nemesys Games","Nemesys Games",462,45,487,487,1.59,507
45700,"Devil May Cry 4","2009-12-22","Capcom","Capcom",1620,144,789,946,15.99,1764
45710,"Dark Void™","2010-01-22","Airtight Games","Capcom",218,230,143,143,6.49,448
45720,"Lost Planet: Extreme Condition Colonies Edition","2010-02-11","CAPCOM CO., LTD.","Capcom",134,95,65,109,12.99,229
45730,"Dark Void™ Zero","2010-04-12","Other Ocean Interactive","Capcom",130,139,0,0,2.99,269
45740,"Dead Rising® 2","2010-09-27","Capcom Vancouver","Capcom",2713,934,1108,993,14.99,3647
45750,"Lost Planet® 2","2010-10-15","CAPCOM CO., LTD.","Capcom",998,504,879,879,12.99,1502
45760,"Ultra Street Fighter® IV","2014-08-07","Capcom","Capcom",8247,1141,835,1056,22.99,9388
45770,"Dead Rising 2: Off the Record","2011-10-11","Capcom Vancouver","Capcom",1387,376,435,621,14.99,1763
46250,"NecroVisioN: Lost Company","2010-02-19","The Farm 51","1C Entertainment",169,71,0,0,4.99,240
46260,"Star Wolves 3: Civil War","2010-03-02","Elite Games Team","1C Entertainment",312,89,422,422,3.99,401
46270,"Star Wolves","2010-03-02","X-Bow Software","1C Entertainment",182,42,0,0,2.79,224
46290,"Theatre of War","2010-07-09","1C Entertainment","1C Entertainment",116,86,0,0,2.79,202
46340,"Theatre of War 2: Africa 1943","2010-07-09","1C Entertainment","1C Entertainment",86,50,0,0,3.99,136
46360,"Theatre of War 2: Kursk 1943","2010-07-09","1C Entertainment","1C Entertainment",81,42,0,0,3.99,123
46370,"Rig n Roll","2010-07-09","SoftLab-NSK","1C Entertainment",165,175,0,0,3.99,340
46400,"Greed: Black Border","2010-01-13","Headup Games;Clockstone","Headup Games",106,153,28,28,3.99,259
46410,"Avencast: Rise of the Mage","2010-03-17","ClockStone Studios","Meridian4",348,175,56,56,6.99,523
46440,"Future Wars","2010-07-15","Radon Labs","Radon Labs",84,204,3,3,3.99,288
46450,"Grotesque Tactics: Evil Heroes","2010-10-15","Silent Dreams","Headup",217,140,20,20,6.99,357
46480,"Still Life","2011-06-01","Microids","Microids",431,98,13,13,5.59,529
46490,"Still Life 2","2011-06-01","Microids","Microids",123,155,0,0,5.59,278
46500,"Syberia","2011-05-19","Microids","Microids",2092,260,293,387,9.99,2352
46510,"Syberia II","2011-05-19","Microids","Microids",862,156,227,227,9.99,1018
46520,"Wasteland Angel","2011-09-01","Octane Games;Meridian4","Meridian4",167,119,101,101,6.99,286
46540,"Trapped Dead","2011-07-15","Headup Games / Crenetic","Headup Games ",258,410,142,157,3.99,668
46550,"Post Mortem","2011-08-26","MC2","Microids",97,87,0,0,5.59,184
46570,"Grotesque Tactics 2 – Dungeons and Donuts","2011-11-21","Silent Dreams","Headup",103,87,105,105,6.99,190
46740,"World Basketball Manager 2010","2010-04-21","Icehole Games","Strategy First",40,88,0,0,2.09,128
46750,"Dark Fall: Lost Souls","2010-04-21","Darkling Room","Iceberg Interactive",109,63,0,0,9.99,172
46770,"Making History II: The War of the World","2010-08-27","Muzzy Lane Software","Factus Games",195,57,0,0,10.99,252
47700,"Command & Conquer 4: Tiberian Twilight","2010-03-18","EA Los Angeles","Electronic Arts",378,1712,160,267,9.99,2090
47780,"Dead Space™ 2","2011-01-27","Visceral Games","Electronic Arts",8943,493,292,272,14.99,9436
47790,"Medal of Honor™","2010-10-12","Electronic Arts","Electronic Arts",3209,1370,133,166,14.99,4579
47800,"RISK™: Factions","2011-03-08","Stainless Games","Electronic Arts",405,214,979,1754,7.99,619
47810,"Dragon Age: Origins - Ultimate Edition","2010-10-29","BioWare","Electronic Arts",8808,726,686,464,19.99,9534
47870,"Need For Speed: Hot Pursuit","2010-12-14","Criterion Games","Electronic Arts",11405,2775,467,415,14.99,14180
47890,"The Sims™ 3","2011-01-27","The Sims Studio","Electronic Arts",11679,2493,4730,499,24.99,14172
47920,"Shift 2 Unleashed","2011-03-31","Slightly Mad Studios","Electronic Arts",1071,629,0,0,19.99,1700
48000,"LIMBO","2011-08-02","Playdead","Playdead",30321,1994,117,127,6.99,32315
48110,"Silent Hunter 5®: Battle of the Atlantic","2010-03-01","Ubisoft Romania","Ubisoft",516,752,1520,1520,25.99,1268
48190,"Assassin’s Creed® Brotherhood","2011-03-17","Ubisoft Montreal","Ubisoft",6676,929,600,471,12.49,7605
48240,"Anno 2070™","2011-11-17","Blue Byte;Related Designs","Ubisoft",5653,3686,879,846,16.99,9339
48700,"Mount & Blade: Warband","2010-03-31","TaleWorlds Entertainment","TaleWorlds Entertainment",75872,2213,7932,1884,14.99,78085
48720,"Mount & Blade: With Fire & Sword","2011-05-03","TaleWorlds Entertainment","TaleWorlds Entertainment",6236,1055,723,713,7.99,7291
48800,"Ship Simulator Extremes","2010-08-27","VStep","Paradox Interactive",676,794,0,0,14.99,1470
48950,"Greed Corp","2010-12-10","Vanguard Games","Vanguard Entertainment Group",399,68,38,49,6.99,467
49300,"Commander: Conquest of the Americas","2010-07-30","Nitro Games","Nitro Games",60,74,0,0,7.99,134
49520,"Borderlands 2","2012-09-20","Gearbox Software;Aspyr (Mac);Aspyr (Linux)","2K;Aspyr (Mac);Aspyr (Linux)",144595,11021,3276,1139,19.99,155616
49600,"Beat Hazard","2010-04-15","Cold Beam Games","Cold Beam Games",6296,328,437,633,6.99,6624
49800,"Flight of the Icarus","2010-05-12","Muse Games","Muse Games",95,148,22,22,3.99,243
49810,"CreaVures","2011-02-23","Muse Games","Muse Games",117,25,0,0,3.99,142
49900,"Plain Sight","2010-04-05","Beatnik Games","Beatnik Games",177,83,0,0,3.99,260
50000,"Nimbus","2010-10-25","Noumenon Games","Noumenon Games",179,10,1,1,5.99,189
50130,"Mafia II","2011-03-22","2K Czech;Feral Interactive (Mac)","2K;Feral Interactive (Mac)",31445,1855,1029,988,19.99,33300
50300,"Spec Ops: The Line","2012-06-28","YAGER","2K;Missing Link Games",32361,2613,293,301,19.99,34974
50510,"Burn Zombie Burn!","2010-08-12","doublesix","P2 Games",65,93,3,3,6.99,158
51060,"Drawn®: The Painted Tower","2011-01-19","Big Fish Studios","Big Fish Games",87,13,0,0,6.99,100
55000,"Flotilla","2010-04-01","Blendo Games","Blendo Games",166,25,130,257,6.99,191
55040,"Atom Zombie Smasher","2011-03-14","Blendo Games","Blendo Games",1397,180,72,101,6.99,1577
55100,"Homefront","2011-03-14","Kaos Studios;Digital Extremes","Deep Silver",5506,3685,1772,126,14.99,9191
55110,"Red Faction®: Armageddon™","2011-06-09","Volition","THQ Nordic",2674,1005,307,436,14.99,3679
55140,"MX vs. ATV Reflex","2010-11-26","Double Helix Games;Rainbow Studios;THQ Nordic","THQ Nordic",1599,359,1024,1024,14.99,1958
55150,"Warhammer 40,000: Space Marine","2011-09-08","Relic","SEGA",9847,998,712,537,19.99,10845
55230,"Saints Row: The Third","2011-11-17","Volition","Deep Silver",44810,1877,1848,1033,6.99,46687
57200,"Puzzle Dimension","2010-06-21","Doctor Entertainment AB","Doctor Entertainment AB",412,41,8,8,1.99,453
57300,"Amnesia: The Dark Descent","2010-09-08","Frictional Games","Frictional Games",20222,1199,173,41,14.99,21421
57620,"Patrician IV - Steam Special Edition","2010-09-17","Gaming Minds Studios","Kalypso Media Digital",153,129,0,0,9.99,282
57640,"Broken Sword: Director's Cut","2010-09-02","Revolution Software Ltd","Revolution Software Ltd",1131,108,1177,1177,4.99,1239
57650,"Dungeons","2011-02-04","Realmforge Studios","Kalypso Media Digital",214,266,112,112,6.99,480
57680,"The First Templar - Steam Special Edition","2011-05-12","Haemimont Games","Kalypso Media Digital",473,208,36,36,6.99,681
57690,"Tropico 4","2011-09-01","Haemimont Games","Kalypso Media Digital",8740,827,518,268,12.49,9567
57700,"Who's That Flying?!","2011-01-31","Mediatonic","Kalypso Media Digital",98,42,25,25,3.99,140
57740,"Jagged Alliance - Back in Action","2012-02-08","Coreplay GmbH;Bigmoon Studios","THQ Nordic",730,345,185,244,14.99,1075
57800,"Doc Clock: The Toasted Sandwich of Time","2010-10-15","Stickmen Studios","Stickmen Studios",79,92,11,16,2.99,171
57900,"Duke Nukem Forever","2011-06-09","Gearbox Software","2K",4433,2243,434,472,14.99,6676
58200,"Jolly Rover","2010-06-07","Brawsome","Brawsome",249,31,3,3,6.99,280
58400,"Turba","2010-07-01","Binary Takeover","Binary Takeover",46,83,14,14,3.49,129
58520,"Blood Bowl - Legendary Edition","2010-10-28","Cyanide Studios","Focus Home Interactive",675,228,284,380,7.99,903
58550,"A Game of Thrones - Genesis","2011-09-28","Cyanide Studios","Focus Home Interactive;1C-SoftClub",201,420,8,8,6.99,621
58560,"Runaway: A Twist of Fate","2011-04-21","Pendulo Studios","Focus Home Interactive",191,34,0,0,6.99,225
58570,"The Next BIG Thing","2011-04-21","Pendulo Studios","Focus Home Interactive;1C-SoftClub",352,59,1,1,6.99,411
58610,"Wargame: European Escalation","2012-02-22","Eugen Systems","Eugen Systems",1892,574,11,11,7.99,2466
60800,"Numen: Contest of Heroes","2010-06-03","CINEMAX, s.r.o.","CINEMAX, s.r.o.",66,69,0,0,4.99,135
61100,"Lucid","2011-07-19","YeaBoing","YeaBoing",171,53,127,127,4.99,224
61310,"Fractal: Make Blooms Not War","2011-11-29","Cipher Prime Studios","Cipher Prime Studios",140,44,30,45,4.99,184
61500,"Age of Wonders","2010-10-01","Triumph Studios","Paradox Interactive",334,98,161,254,3.99,432
61510,"Age of Wonders II: The Wizard's Throne","2010-10-01","Triumph Studios","Paradox Interactive",105,28,0,0,6.99,133
61520,"Age of Wonders Shadow Magic","2010-10-01","Triumph Studios","Paradox Interactive",225,35,151,151,6.99,260
61600,"Zen Bound 2","2010-11-16","Secret Exit Ltd.","Secret Exit Ltd.",432,65,133,133,3.99,497
61700,"Might & Magic: Clash of Heroes","2011-09-21","Capybara Games","Ubisoft",1293,157,1595,1595,8.59,1450
61730,"Critter Crunch","2012-09-11","Capybara Games","Capybara Games",256,14,137,137,4.99,270
62000,"Flight Control HD","2010-11-18","Firemint","Firemint",406,36,85,85,2.99,442
62100,"Chime","2010-09-06","Zoë Mode","OneBigGame",564,39,707,1382,3.99,603
63000,"HOARD","2011-04-04","Big Sandwich Games","Big Sandwich Games",673,168,31,31,6.99,841
63110,"Alter Ego","2010-08-03","bitComposer Games","Viva Media",139,59,12,12,7.19,198
63200,"Monday Night Combat","2011-01-24","Uber Entertainment","Uber Entertainment",720,205,101,101,3.99,925
63500,"Swords and Soldiers HD","2010-12-02","Ronimo Games","Ronimo Games",572,160,132,227,6.99,732
63610,"Riven: The Sequel to MYST","2010-08-04","Cyan Worlds","Cyan Worlds",288,103,0,0,3.99,391
63660,"Myst: Masterpiece Edition","2011-02-02","Cyan Worlds","Cyan Worlds",155,80,0,0,3.99,235
63700,"BIT.TRIP BEAT","2010-11-02","Gaijin Games","Gaijin Games",616,140,78,141,6.99,756
63710,"BIT.TRIP RUNNER","2011-02-28","Gaijin Games","Gaijin Games",3058,490,149,202,6.99,3548
63800,"Delve Deeper","2010-09-24","Lunar Giant","Lunar Giant Studios",225,159,241,241,3.99,384
63900,"Fantasy Wars","2010-08-06","Ino-Co","1C Entertainment",115,28,0,0,3.99,143
63910,"King's Bounty: Crossworlds","2010-09-17","Katauri Interactive","1C Entertainment",492,47,30,30,11.99,539
63940,"Men of War: Vietnam","2011-09-08","1C Entertainment","1C Entertainment;1C-SoftClub",399,247,10,10,5.59,646
63960,"Theatre of War 3: Korea","2011-03-24","1C Entertainment","1C Entertainment",50,76,0,0,4.99,126
64000,"Men of War: Assault Squad","2011-02-24","Digitalmindsoft","1C Entertainment;1C-SoftClub",2881,416,292,365,7.19,3297
65070,"Ride 'em Low","2013-11-04","Red Dot Games;PLAY","Libredia",56,55,0,0,2.09,111
65080,"Kaptain Brawe: A Brawe New World","2011-01-20","Cateia Games","Libredia Entertainment",87,30,0,0,3.99,117
65270,"Demolition Company Gold Edition","2011-08-04","Giants Software","Giants Software",144,27,0,0,7.19,171
65400,"Archon Classic","2010-11-02","React Games","React Games",87,17,16,16,6.99,104
65500,"Aura: Fate of the Ages","2010-10-04","Streko Graphics","THQ Nordic",84,63,0,0,4.49,147
65530,"SpellForce 2: Faith in Destiny","2012-06-19","Mind Over Matter Studios","THQ Nordic",125,85,1244,2481,13.99,210
65560,"Painkiller Redemption","2011-02-25","Eggtooth Team","THQ Nordic",206,196,28,28,4.49,402
65600,"Gothic 3: Forsaken Gods Enhanced Edition","2011-03-22","Trine Studios;G3 Community Patch Team;Mad Vulture Games","THQ Nordic",247,254,1054,1054,8.99,501
65610,"ArcaniA: Fall of Setarrif","2011-10-24","Spellbound Studios","THQ Nordic",119,225,5,5,13.99,344
65710,"Pat & Mat","2010-11-05","Centauri Production","Bohemia Interactive",297,59,0,0,3.99,356
65730,"Take On Helicopters","2011-10-27","Bohemia Interactive","Bohemia Interactive",340,260,2,4,11.99,600
65740,"Carrier Command: Gaea Mission","2012-09-28","Bohemia Interactive","Bohemia Interactive",362,442,81,81,19.99,804
65780,"ARMA: Gold Edition","2011-07-13","Bohemia Interactive","Bohemia Interactive",548,209,22,22,5.99,757
65790,"ARMA: Cold War Assault","2011-08-08","Bohemia Interactive","Bohemia Interactive",3195,942,28,39,3.49,4137
65800,"Dungeon Defenders","2011-10-18","Trendy Entertainment","Trendy Entertainment",10693,932,1993,1205,9.99,11625
65930,"The Bureau: XCOM Declassified","2013-08-22","2K Marin","2K",6661,2923,201,168,14.99,9584
65980,"Sid Meier's Civilization®: Beyond Earth™","2014-10-23","Firaxis Games;Aspyr (Mac);Aspyr (Linux)","2K;Aspyr (Mac);Aspyr (Linux)",9555,8224,932,1552,29.99,17779
67000,"The Polynomial - Space of the music","2010-10-15","Dmytry Lavrov","Dmytry Lavrov",331,114,4,5,4.99,445
67370,"The Darkness II","2012-02-09","Digital Extremes","2K",11992,1234,191,214,19.99,13226
70000,"Dino D-Day","2011-04-08","800 North and Digital Ranch","800 North and Digital Ranch",12222,2367,172,150,6.99,14589
70100,"Hacker Evolution","2010-09-14","exosyphen studios","exosyphen studios",598,308,189,214,0.79,906
